r_comm,r_comm_orani,N,karsilasma_ort,karsilasma_std,gorev_suresi_ort,kapsama_tamam_orani,tekrar
10.0000,0.0250,3,0.0000,0.0000,290.6100,1.0000,10
10.0000,0.0250,5,0.0000,0.0000,166.7900,1.0000,10
20.0000,0.0500,3,2.0000,0.0000,290.6100,1.0000,10
20.0000,0.0500,5,4.0000,0.0000,166.7900,1.0000,10
30.0000,0.0750,3,2.0000,0.0000,290.6100,1.0000,10
30.0000,0.0750,5,4.0000,0.0000,166.7900,1.0000,10
40.0000,0.1000,3,2.0000,0.0000,290.6100,1.0000,10
40.0000,0.1000,5,4.0000,0.0000,166.7900,1.0000,10
50.0000,0.1250,3,2.6000,0.4899,290.6100,1.0000,10
50.0000,0.1250,5,5.3000,0.6403,166.7900,1.0000,10
60.0000,0.1500,3,2.6000,0.4899,290.6100,1.0000,10
60.0000,0.1500,5,5.3000,0.6403,166.7900,1.0000,10
70.0000,0.1750,3,2.6000,0.4899,290.6100,1.0000,10
70.0000,0.1750,5,5.1000,0.7000,166.7900,1.0000,10
80.0000,0.2000,3,2.6000,0.4899,290.6100,1.0000,10
80.0000,0.2000,5,4.0000,0.0000,166.7900,1.0000,10
90.0000,0.2250,3,3.2000,0.9798,290.6100,1.0000,10
90.0000,0.2250,5,4.0000,0.0000,166.7900,1.0000,10
100.0000,0.2500,3,3.2000,0.9798,290.6100,1.0000,10
100.0000,0.2500,5,4.0000,0.0000,166.7900,1.0000,10
110.0000,0.2750,3,3.2000,0.9798,290.6100,1.0000,10
110.0000,0.2750,5,4.0000,0.0000,166.7900,1.0000,10
120.0000,0.3000,3,2.5000,0.5000,290.6100,1.0000,10
120.0000,0.3000,5,4.0000,0.0000,166.7900,1.0000,10
130.0000,0.3250,3,2.0000,0.0000,290.6100,1.0000,10
130.0000,0.3250,5,4.0000,0.0000,166.7900,1.0000,10
140.0000,0.3500,3,2.0000,0.0000,290.6100,1.0000,10
140.0000,0.3500,5,5.2000,0.7483,166.7900,1.0000,10
150.0000,0.3750,3,2.0000,0.0000,290.6100,1.0000,10
150.0000,0.3750,5,5.4000,0.9165,166.7900,1.0000,10
160.0000,0.4000,3,2.0000,0.0000,290.6100,1.0000,10
160.0000,0.4000,5,8.1000,1.0440,166.7900,1.0000,10
170.0000,0.4250,3,2.0000,0.0000,290.6100,1.0000,10
170.0000,0.4250,5,7.0000,0.0000,166.7900,1.0000,10
180.0000,0.4500,3,2.0000,0.0000,290.6100,1.0000,10
180.0000,0.4500,5,9.0000,0.0000,166.7900,1.0000,10
190.0000,0.4750,3,2.0000,0.0000,290.6100,1.0000,10
190.0000,0.4750,5,9.0000,0.0000,166.7900,1.0000,10
200.0000,0.5000,3,2.0000,0.0000,290.6100,1.0000,10
200.0000,0.5000,5,9.0000,0.0000,166.7900,1.0000,10
