r_comm,r_comm_orani,N,karsilasma_ort,karsilasma_std,koordinasyon_karari_ort,takas_ort,gorev_suresi_ort,gorev_suresi_std,kapsama_tamam_orani,tekrar
10.0000,0.0250,3,0.3000,0.4583,0.3000,0.0000,467.3300,28.8045,1.0000,10
10.0000,0.0250,5,0.6000,0.8000,0.6000,0.0000,275.9500,25.6770,1.0000,10
20.0000,0.0500,3,0.5000,0.5000,0.5000,0.0000,467.3300,28.8045,1.0000,10
20.0000,0.0500,5,2.3000,1.4177,2.3000,0.0000,275.9500,25.6770,1.0000,10
30.0000,0.0750,3,0.9000,0.9434,0.9000,0.0000,466.5900,28.1460,1.0000,10
30.0000,0.0750,5,3.0000,1.3416,3.0000,0.0000,285.6100,27.4305,1.0000,10
40.0000,0.1000,3,1.5000,1.2042,1.5000,0.0000,466.5900,28.1460,1.0000,10
40.0000,0.1000,5,4.5000,1.4318,4.5000,0.0000,306.0700,45.1817,1.0000,10
50.0000,0.1250,3,2.2000,1.4000,2.2000,0.0000,468.7300,27.4329,1.0000,10
50.0000,0.1250,5,6.7000,1.2689,6.7000,0.0000,308.0400,45.0065,1.0000,10
60.0000,0.1500,3,2.4000,1.3565,2.4000,0.0000,468.7300,27.4329,1.0000,10
60.0000,0.1500,5,7.4000,1.8000,7.4000,0.0000,302.3800,45.2816,1.0000,10
70.0000,0.1750,3,2.6000,1.3565,2.6000,0.0000,464.2000,27.5178,1.0000,10
70.0000,0.1750,5,8.8000,2.8213,8.8000,0.0000,305.3100,29.7655,1.0000,10
80.0000,0.2000,3,2.8000,1.6613,2.8000,0.0000,459.8300,29.7704,1.0000,10
80.0000,0.2000,5,9.9000,2.7368,9.9000,0.0000,301.5000,33.2700,1.0000,10
90.0000,0.2250,3,3.3000,1.9519,3.3000,0.0000,472.6100,38.4214,1.0000,10
90.0000,0.2250,5,11.1000,3.2388,11.1000,0.0000,302.0200,42.0125,1.0000,10
100.0000,0.2500,3,3.8000,1.6613,3.8000,0.0000,472.6100,38.4214,1.0000,10
100.0000,0.2500,5,11.3000,2.8653,11.3000,0.0000,293.8200,22.4343,1.0000,10
110.0000,0.2750,3,4.7000,2.6851,4.7000,0.0000,477.7100,48.2968,1.0000,10
110.0000,0.2750,5,13.0000,4.2190,13.0000,0.0000,302.5300,28.5351,1.0000,10
120.0000,0.3000,3,4.6000,2.6153,4.6000,0.0000,471.3300,41.0957,1.0000,10
120.0000,0.3000,5,14.2000,4.5782,14.2000,0.0000,298.5700,33.6238,1.0000,10
130.0000,0.3250,3,5.7000,2.9000,5.7000,0.0000,467.7300,40.6580,1.0000,10
130.0000,0.3250,5,16.1000,4.2532,16.1000,0.0000,294.7900,32.5881,1.0000,10
140.0000,0.3500,3,5.8000,2.7129,5.8000,0.1000,463.1200,43.1244,1.0000,10
140.0000,0.3500,5,17.1000,3.9357,17.1000,0.0000,297.8200,37.7206,1.0000,10
150.0000,0.3750,3,7.4000,2.4980,7.4000,0.1000,461.1300,44.4574,1.0000,10
150.0000,0.3750,5,18.4000,4.4091,18.4000,0.0000,316.0000,47.6538,1.0000,10
160.0000,0.4000,3,7.8000,2.7129,7.8000,0.0000,462.5900,43.0845,1.0000,10
160.0000,0.4000,5,18.1000,3.9611,18.1000,0.0000,297.5400,51.7442,1.0000,10
170.0000,0.4250,3,8.5000,2.9749,8.5000,0.0000,468.8800,49.9480,1.0000,10
170.0000,0.4250,5,19.7000,4.1000,19.7000,0.0000,312.2900,52.6567,1.0000,10
180.0000,0.4500,3,8.1000,2.8443,8.1000,0.0000,468.7600,50.0544,1.0000,10
180.0000,0.4500,5,18.8000,3.9699,18.8000,0.1000,299.7400,25.9480,1.0000,10
190.0000,0.4750,3,8.1000,2.7000,8.1000,0.0000,468.2700,50.8182,1.0000,10
190.0000,0.4750,5,18.4000,4.5651,18.4000,0.0000,291.7200,32.6957,1.0000,10
200.0000,0.5000,3,7.6000,3.1686,7.6000,0.0000,469.9500,49.8557,1.0000,10
200.0000,0.5000,5,18.1000,3.9357,18.1000,0.0000,289.6200,29.5692,1.0000,10
