senaryo,esik_degeri,N,karsilasma_ort,teklif_ort,takas_ort,devralinan_hucre_ort,churn_orani,atama_kararliligi,gorev_suresi_ort,kapsama_dengesizligi_ort,kapsama_tamam_orani,tekrar
arizasiz,0.0000,3,2.6000,2.2000,0.0000,0.0000,0.0000,0.0000,290.6100,0.0000,1.0000,10
arizasiz,0.0000,5,5.3000,2.6000,0.0000,0.0000,0.0000,0.0000,166.7900,0.0000,1.0000,10
arizasiz,0.0500,3,2.6000,0.0000,0.0000,0.0000,0.0000,0.0000,290.6100,0.0000,1.0000,10
arizasiz,0.0500,5,5.3000,0.0000,0.0000,0.0000,0.0000,0.0000,166.7900,0.0000,1.0000,10
arizasiz,0.1000,3,2.6000,0.0000,0.0000,0.0000,0.0000,0.0000,290.6100,0.0000,1.0000,10
arizasiz,0.1000,5,5.3000,0.0000,0.0000,0.0000,0.0000,0.0000,166.7900,0.0000,1.0000,10
arizasiz,0.1500,3,2.6000,0.0000,0.0000,0.0000,0.0000,0.0000,290.6100,0.0000,1.0000,10
arizasiz,0.1500,5,5.3000,0.0000,0.0000,0.0000,0.0000,0.0000,166.7900,0.0000,1.0000,10
arizasiz,0.2000,3,2.6000,0.0000,0.0000,0.0000,0.0000,0.0000,290.6100,0.0000,1.0000,10
arizasiz,0.2000,5,5.3000,0.0000,0.0000,0.0000,0.0000,0.0000,166.7900,0.0000,1.0000,10
arizasiz,0.2500,3,2.6000,0.0000,0.0000,0.0000,0.0000,0.0000,290.6100,0.0000,1.0000,10
arizasiz,0.2500,5,5.3000,0.0000,0.0000,0.0000,0.0000,0.0000,166.7900,0.0000,1.0000,10
arizasiz,0.3000,3,2.6000,0.0000,0.0000,0.0000,0.0000,0.0000,290.6100,0.0000,1.0000,10
arizasiz,0.3000,5,5.3000,0.0000,0.0000,0.0000,0.0000,0.0000,166.7900,0.0000,1.0000,10
arizasiz,0.3500,3,2.6000,0.0000,0.0000,0.0000,0.0000,0.0000,290.6100,0.0000,1.0000,10
arizasiz,0.3500,5,5.3000,0.0000,0.0000,0.0000,0.0000,0.0000,166.7900,0.0000,1.0000,10
arizasiz,0.4000,3,2.6000,0.0000,0.0000,0.0000,0.0000,0.0000,290.6100,0.0000,1.0000,10
arizasiz,0.4000,5,5.3000,0.0000,0.0000,0.0000,0.0000,0.0000,166.7900,0.0000,1.0000,10
arizasiz,0.4500,3,2.6000,0.0000,0.0000,0.0000,0.0000,0.0000,290.6100,0.0000,1.0000,10
arizasiz,0.4500,5,5.3000,0.0000,0.0000,0.0000,0.0000,0.0000,166.7900,0.0000,1.0000,10
arizasiz,0.5000,3,2.6000,0.0000,0.0000,0.0000,0.0000,0.0000,290.6100,0.0000,1.0000,10
arizasiz,0.5000,5,5.3000,0.0000,0.0000,0.0000,0.0000,0.0000,166.7900,0.0000,1.0000,10
arizasiz,0.5500,3,2.6000,0.0000,0.0000,0.0000,0.0000,0.0000,290.6100,0.0000,1.0000,10
