calisma,deney_id,kombinasyon_id,tarih,faz,N,P2,P3,P4,P5,P6,tekrar,gorev_tamamlama_suresi,iletisim_yuku,tick_maliyeti,carpisma_sayisi,atama_kararliligi,churn_orani,kapsama_dengesizligi,karsilasma_sikligi,notlar
homojen,P2c_P3c_P4b_P5abc_P6c_N3,P2c_P3c_P4b_P5abc_P6c,2026-08-20,faz1,3,c,c,b,abc,c,10,468.73,142.8,4687.3,0.2,0.7333,0.0,0.0,2.4,"Faz 1 OFAT taramasi, tam BT modeli"
homojen,P2c_P3c_P4b_P5abc_P6c_N5,P2c_P3c_P4b_P5abc_P6c,2026-08-20,faz1,5,c,c,b,abc,c,10,295.76,325.9,2957.6,0.5,0.54,0.0311,0.0,7.3,"Faz 1 OFAT taramasi, tam BT modeli"
homojen,P2a_P3c_P4b_P5abc_P6c_N3,P2a_P3c_P4b_P5abc_P6c,2026-08-20,faz1,3,a,c,b,abc,c,10,464.87,223.2,4648.7,0.2,0.9,0.4417,0.0,2.4,"Faz 1 OFAT taramasi, tam BT modeli"
homojen,P2a_P3c_P4b_P5abc_P6c_N5,P2a_P3c_P4b_P5abc_P6c,2026-08-20,faz1,5,a,c,b,abc,c,10,308.5,328.4,3085.0,0.6,0.54,0.1558,0.0,7.7,"Faz 1 OFAT taramasi, tam BT modeli"
homojen,P2b_P3c_P4b_P5abc_P6c_N3,P2b_P3c_P4b_P5abc_P6c,2026-08-20,faz1,3,b,c,b,abc,c,10,458.34,181.5,4583.4,0.2,0.8,0.15,0.0,2.2,"Faz 1 OFAT taramasi, tam BT modeli"
homojen,P2b_P3c_P4b_P5abc_P6c_N5,P2b_P3c_P4b_P5abc_P6c,2026-08-20,faz1,5,b,c,b,abc,c,10,290.52,408.5,2905.2,0.5,0.64,0.1292,0.0,7.3,"Faz 1 OFAT taramasi, tam BT modeli"
homojen,P2c_P3a_P4b_P5abc_P6c_N3,P2c_P3a_P4b_P5abc_P6c,2026-08-20,faz1,3,c,a,b,abc,c,10,477.32,229.3,4773.2,0.1,0.6667,0.0,0.0,4.3,"Faz 1 OFAT taramasi, tam BT modeli"
homojen,P2c_P3a_P4b_P5abc_P6c_N5,P2c_P3a_P4b_P5abc_P6c,2026-08-20,faz1,5,c,a,b,abc,c,10,319.72,480.1,3197.2,0.4,0.5,0.0111,0.0,9.9,"Faz 1 OFAT taramasi, tam BT modeli"
homojen,P2c_P3b_P4b_P5abc_P6c_N3,P2c_P3b_P4b_P5abc_P6c,2026-08-20,faz1,3,c,b,b,abc,c,10,451.28,139.6,4512.8,0.1,0.7333,0.0,0.0,2.2,"Faz 1 OFAT taramasi, tam BT modeli"
homojen,P2c_P3b_P4b_P5abc_P6c_N5,P2c_P3b_P4b_P5abc_P6c,2026-08-20,faz1,5,c,b,b,abc,c,10,302.24,424.3,3022.4,0.7,0.56,0.0458,0.0,7.0,"Faz 1 OFAT taramasi, tam BT modeli"
