kombinasyon_id,gorev_tamamlama_suresi_N3,gorev_tamamlama_suresi_N5,gorev_tamamlama_suresi_delta,gorev_tamamlama_suresi_duyarlilik,atama_kararliligi_N3,atama_kararliligi_N5,atama_kararliligi_delta,atama_kararliligi_duyarlilik,churn_orani_N3,churn_orani_N5,churn_orani_delta,churn_orani_duyarlilik,kapsama_dengesizligi_N3,kapsama_dengesizligi_N5,kapsama_dengesizligi_delta,kapsama_dengesizligi_duyarlilik,karsilasma_sikligi_N3,karsilasma_sikligi_N5,karsilasma_sikligi_delta,karsilasma_sikligi_duyarlilik,iletisim_yuku_N3,iletisim_yuku_N5,iletisim_yuku_delta,iletisim_yuku_duyarlilik,tick_maliyeti_N3,tick_maliyeti_N5,tick_maliyeti_delta,tick_maliyeti_duyarlilik,carpisma_sayisi_N3,carpisma_sayisi_N5,carpisma_sayisi_delta,carpisma_sayisi_duyarlilik,ortalama_duyarlilik
P2c_P3b_P4b_P5abc_P6c,451.28,302.24,-149.03999999999996,0.33026059209360037,0.7333,0.56,-0.1732999999999999,0.2363289240420018,0.0,0.0458,0.0458,,0.0,0.0,0.0,,2.2,7.0,4.8,2.1818181818181817,139.6,424.3,284.70000000000005,2.039398280802293,4512.8,3022.4,-1490.4,0.3302605920936004,0.1,0.7,0.6,5.999999999999999,1.8530110951416126
P2c_P3c_P4c_P5abc_P6c,461.0,290.39,-170.61,0.3700867678958786,0.7333,0.64,-0.09329999999999994,0.1272330560480021,0.0,0.05,0.05,,0.0,0.0,0.0,,2.3,7.5,5.2,2.2608695652173916,170.2,398.0,227.8,1.338425381903643,4610.0,2903.9,-1706.1,0.3700867678958785,0.2,0.6,0.39999999999999997,1.9999999999999998,1.077783589826799
P2c_P3c_P4b_P5abc_P6a,468.22,294.57,-173.65000000000003,0.37087266669514335,0.7333,0.48,-0.25329999999999997,0.3454247920360016,0.0,0.0111,0.0111,,0.0,0.0,0.0,,2.1,6.9,4.800000000000001,2.285714285714286,141.1,349.1,208.00000000000003,1.4741318214032604,4682.2,2945.7,-1736.5,0.37087266669514335,0.2,0.5,0.3,1.4999999999999998,1.0578360387573058
P2c_P3a_P4b_P5abc_P6c,477.32,319.72,-157.59999999999997,0.33017682058158043,0.6667,0.5,-0.16669999999999996,0.2500374981250937,0.0,0.0111,0.0111,,0.0,0.0,0.0,,4.3,9.9,5.6000000000000005,1.302325581395349,229.3,480.1,250.8,1.0937636284343655,4773.2,3197.2,-1576.0,0.3301768205815805,0.1,0.4,0.30000000000000004,3.0000000000000004,1.0510800581863282
P2c_P3c_P4b_P5abcd_P6c,468.73,295.76,-172.97000000000003,0.36901841145222203,0.7333,0.54,-0.19329999999999992,0.2636028910405017,0.0,0.0311,0.0311,,0.0,0.0,0.0,,2.4,7.3,4.9,2.041666666666667,143.2,327.6,184.40000000000003,1.2877094972067042,4687.3,2957.6,-1729.7000000000003,0.36901841145222203,0.2,0.5,0.3,1.4999999999999998,0.9718359796363861
P2c_P3c_P4b_P5ac_P6c,468.73,295.76,-172.97000000000003,0.36901841145222203,0.7333,0.54,-0.19329999999999992,0.2636028910405017,0.0,0.0311,0.0311,,0.0,0.0,0.0,,2.4,7.3,4.9,2.041666666666667,142.8,325.9,183.09999999999997,1.2822128851540613,4687.3,2957.6,-1729.7000000000003,0.36901841145222203,0.2,0.5,0.3,1.4999999999999998,0.9709198776276122
P2c_P3c_P4b_P5abc_P6c,468.73,295.76,-172.97000000000003,0.36901841145222203,0.7333,0.54,-0.19329999999999992,0.2636028910405017,0.0,0.0311,0.0311,,0.0,0.0,0.0,,2.4,7.3,4.9,2.041666666666667,142.8,325.9,183.09999999999997,1.2822128851540613,4687.3,2957.6,-1729.7000000000003,0.36901841145222203,0.2,0.5,0.3,1.4999999999999998,0.9709198776276122
P2c_P3c_P4b_P5c_P6c,467.34,271.36,-195.97999999999996,0.4193520777164377,0.6667,0.4,-0.26669999999999994,0.4000299985000749,0.0,0.0,0.0,,0.0,0.0,0.0,,2.2,6.8,4.6,2.0909090909090904,8.6,26.4,17.799999999999997,2.069767441860465,4673.4,2713.6,-1959.7999999999997,0.4193520777164377,0.3,0.4,0.10000000000000003,0.3333333333333335,0.9554573366726399
P2c_P3c_P4b_P5bc_P6c,467.34,271.36,-195.97999999999996,0.4193520777164377,0.6667,0.4,-0.26669999999999994,0.4000299985000749,0.0,0.0,0.0,,0.0,0.0,0.0,,2.2,6.8,4.6,2.0909090909090904,8.6,26.4,17.799999999999997,2.069767441860465,4673.4,2713.6,-1959.7999999999997,0.4193520777164377,0.3,0.4,0.10000000000000003,0.3333333333333335,0.9554573366726399
P2c_P3c_P4a_P5abc_P6c,460.98,290.38,-170.60000000000002,0.3700811315024513,0.7333,0.64,-0.09329999999999994,0.1272330560480021,0.0,0.05,0.05,,0.0,0.0,0.0,,2.3,7.5,5.2,2.2608695652173916,13999.6,14917.0,917.3999999999996,0.0655304437269636,4609.8,2903.8,-1706.0,0.3700811315024513,0.2,0.7,0.49999999999999994,2.4999999999999996,0.9489658879995434
