deney_id,kombinasyon_id,faz,N,P2,P3,P4,P5,P6,tekrar,gorev_tamamlama_suresi,gorev_suresi_std,tick_maliyeti,toplam_mesafe,karsilasma_sikligi,koordinasyon_karari,iletisim_yuku,teklif_sayisi,takas_sayisi,devralinan_hucre,atama_kararliligi,churn_orani,kapsama_dengesizligi,carpisma_sayisi,bilgi_kapsamasi,kapsama_tamam,notlar
P2c_P3c_P4b_P5abc_P6c_N3,P2c_P3c_P4b_P5abc_P6c,faz1,3,c,c,b,abc,c,10,458.5900,30.9062,4585.9000,9152.0956,2.3000,2.3000,165.5000,0.2000,0.0000,69.9000,0.7333,0.0833,0.0000,0.2000,1.0000,1.0000,
P2c_P3c_P4b_P5abc_P6c_N5,P2c_P3c_P4b_P5abc_P6c,faz1,5,c,c,b,abc,c,10,289.6500,37.1926,2896.5000,9550.0540,7.0000,7.0000,331.9000,1.2000,0.0000,39.7000,0.4800,0.0804,0.0000,0.4000,1.0000,1.0000,
P2a_P3c_P4b_P5abc_P6c_N3,P2a_P3c_P4b_P5abc_P6c,faz1,3,a,c,b,abc,c,10,447.0400,31.6399,4470.4000,9338.6198,2.2000,3.2000,9.6000,0.3000,0.0000,69.9000,0.9000,0.5083,0.0000,0.2000,1.0000,1.0000,
P2a_P3c_P4b_P5abc_P6c_N5,P2a_P3c_P4b_P5abc_P6c,faz1,5,a,c,b,abc,c,10,289.4700,19.9682,2894.7000,9475.3930,6.8000,7.6000,38.0000,3.0000,0.1000,39.7000,0.5400,0.1722,0.0000,0.4000,1.0000,1.0000,
P2b_P3c_P4b_P5abc_P6c_N3,P2b_P3c_P4b_P5abc_P6c,faz1,3,b,c,b,abc,c,10,458.5900,30.9062,4585.9000,9152.0956,2.3000,2.3000,165.5000,0.2000,0.0000,69.9000,0.7333,0.0833,0.0000,0.2000,1.0000,1.0000,
P2b_P3c_P4b_P5abc_P6c_N5,P2b_P3c_P4b_P5abc_P6c,faz1,5,b,c,b,abc,c,10,289.6500,37.1926,2896.5000,9550.0540,7.0000,6.9000,331.8000,1.2000,0.0000,39.7000,0.4800,0.0804,0.0000,0.4000,1.0000,1.0000,
P2c_P3a_P4b_P5abc_P6c_N3,P2c_P3a_P4b_P5abc_P6c,faz1,3,c,a,b,abc,c,10,462.1600,29.3720,4621.6000,9268.8493,4.2000,4.2000,348.0000,1.1000,0.1000,65.4000,0.7333,0.0733,0.0000,0.1000,1.0000,1.0000,
P2c_P3a_P4b_P5abc_P6c_N5,P2c_P3a_P4b_P5abc_P6c,faz1,5,c,a,b,abc,c,10,295.5400,34.6059,2955.4000,9859.7611,9.2000,9.2000,530.9000,1.2000,0.1000,37.0000,0.5800,0.1237,0.0000,0.5000,1.0000,1.0000,
P2c_P3b_P4b_P5abc_P6c_N3,P2c_P3b_P4b_P5abc_P6c,faz1,3,c,b,b,abc,c,10,440.3900,32.5184,4403.9000,9009.3016,2.2000,2.2000,167.6000,0.3000,0.0000,68.6000,0.7333,0.0833,0.0000,0.1000,1.0000,1.0000,
P2c_P3b_P4b_P5abc_P6c_N5,P2c_P3b_P4b_P5abc_P6c,faz1,5,c,b,b,abc,c,10,303.1800,40.9305,3031.8000,9724.5623,6.4000,6.4000,442.0000,1.3000,0.0000,38.8000,0.4600,0.1155,0.0000,0.6000,1.0000,1.0000,
P2c_P3c_P4b_P5a_P6c_N3,P2c_P3c_P4b_P5a_P6c,faz1,3,c,c,b,a,c,10,2485.7900,1028.4334,24857.9000,7773.2372,2.0000,2.0000,80.0000,0.0000,0.0000,14.7000,0.4667,0.0833,0.0000,0.2000,0.4003,0.2000,
P2c_P3c_P4b_P5a_P6c_N5,P2c_P3c_P4b_P5a_P6c,faz1,5,c,c,b,a,c,10,1651.3300,1349.0199,16513.3000,9025.8405,6.4000,6.4000,238.1000,0.8000,0.0000,19.5000,0.3800,0.0804,0.0000,0.3000,0.3144,0.5000,
P2c_P3c_P4b_P5b_P6c_N3,P2c_P3c_P4b_P5b_P6c,faz1,3,c,c,b,b,c,10,2485.7900,1028.4334,24857.9000,7773.2372,2.0000,2.0000,4.0000,0.0000,0.0000,14.7000,0.4667,0.0833,0.0000,0.2000,1.0000,0.2000,
P2c_P3c_P4b_P5b_P6c_N5,P2c_P3c_P4b_P5b_P6c,faz1,5,c,c,b,b,c,10,1651.3300,1349.0199,16513.3000,9025.8405,6.4000,6.4000,12.8000,0.0000,0.0000,19.5000,0.3800,0.0804,0.0000,0.3000,1.0000,0.5000,
P2c_P3c_P4b_P5c_P6c_N3,P2c_P3c_P4b_P5c_P6c,faz1,3,c,c,b,c,c,10,458.5900,30.9062,4585.9000,9152.0956,2.3000,2.3000,4.6000,0.0000,0.0000,69.9000,0.7333,0.0833,0.0000,0.2000,0.3333,1.0000,
P2c_P3c_P4b_P5c_P6c_N5,P2c_P3c_P4b_P5c_P6c,faz1,5,c,c,b,c,c,10,289.6500,37.1926,2896.5000,9550.0540,7.0000,7.0000,14.0000,0.0000,0.0000,39.7000,0.4800,0.0804,0.0000,0.4000,0.2000,1.0000,
P2c_P3c_P4b_P5ab_P6c_N3,P2c_P3c_P4b_P5ab_P6c,faz1,3,c,c,b,ab,c,10,2485.7900,1028.4334,24857.9000,7773.2372,2.0000,2.0000,80.0000,0.0000,0.0000,14.7000,0.4667,0.0833,0.0000,0.2000,1.0000,0.2000,
P2c_P3c_P4b_P5ab_P6c_N5,P2c_P3c_P4b_P5ab_P6c,faz1,5,c,c,b,ab,c,10,1651.3300,1349.0199,16513.3000,9025.8405,6.4000,6.4000,238.1000,0.8000,0.0000,19.5000,0.3800,0.0804,0.0000,0.3000,1.0000,0.5000,
P2c_P3c_P4b_P5ac_P6c_N3,P2c_P3c_P4b_P5ac_P6c,faz1,3,c,c,b,ac,c,10,458.5900,30.9062,4585.9000,9152.0956,2.3000,2.3000,165.5000,0.2000,0.0000,69.9000,0.7333,0.0833,0.0000,0.2000,0.4674,1.0000,
P2c_P3c_P4b_P5ac_P6c_N5,P2c_P3c_P4b_P5ac_P6c,faz1,5,c,c,b,ac,c,10,289.6500,37.1926,2896.5000,9550.0540,7.0000,7.0000,331.9000,1.2000,0.0000,39.7000,0.4800,0.0804,0.0000,0.4000,0.3589,1.0000,
P2c_P3c_P4b_P5bc_P6c_N3,P2c_P3c_P4b_P5bc_P6c,faz1,3,c,c,b,bc,c,10,458.5900,30.9062,4585.9000,9152.0956,2.3000,2.3000,4.6000,0.0000,0.0000,69.9000,0.7333,0.0833,0.0000,0.2000,1.0000,1.0000,
P2c_P3c_P4b_P5bc_P6c_N5,P2c_P3c_P4b_P5bc_P6c,faz1,5,c,c,b,bc,c,10,289.6500,37.1926,2896.5000,9550.0540,7.0000,7.0000,14.0000,0.0000,0.0000,39.7000,0.4800,0.0804,0.0000,0.4000,1.0000,1.0000,
P2c_P3c_P4b_P5abcd_P6c_N3,P2c_P3c_P4b_P5abcd_P6c,faz1,3,c,c,b,abcd,c,10,458.5900,30.9062,4585.9000,9152.0956,2.3000,2.3000,166.2000,0.2000,0.0000,69.9000,0.7333,0.0833,0.0000,0.2000,1.0000,1.0000,
P2c_P3c_P4b_P5abcd_P6c_N5,P2c_P3c_P4b_P5abcd_P6c,faz1,5,c,c,b,abcd,c,10,289.6500,37.1926,2896.5000,9550.0540,7.0000,7.0000,334.1000,1.2000,0.0000,39.7000,0.4800,0.0804,0.0000,0.4000,1.0000,1.0000,
P2c_P3c_P4b_P5abc_P6a_N3,P2c_P3c_P4b_P5abc_P6a,faz1,3,c,c,b,abc,a,10,467.8600,27.1726,4678.6000,9106.4091,2.2000,6.2000,163.7000,0.7000,0.0000,69.9000,0.7333,0.0833,0.0000,0.2000,1.0000,1.0000,
P2c_P3c_P4b_P5abc_P6a_N5,P2c_P3c_P4b_P5abc_P6a,faz1,5,c,c,b,abc,a,10,295.8100,36.5154,2958.1000,9550.0382,6.9000,15.6000,380.3000,1.9000,0.0000,39.7000,0.4600,0.0761,0.0000,0.4000,1.0000,1.0000,
P2c_P3c_P4b_P5abc_P6b_N3,P2c_P3c_P4b_P5abc_P6b,faz1,3,c,c,b,abc,b,10,458.5900,30.9062,4585.9000,9152.0956,2.3000,285.4000,752.5000,13.7000,0.0000,69.9000,0.7333,0.0833,0.0000,0.2000,1.0000,1.0000,
P2c_P3c_P4b_P5abc_P6b_N5,P2c_P3c_P4b_P5abc_P6b,faz1,5,c,c,b,abc,b,10,289.6500,37.1926,2896.5000,9550.0540,7.0000,832.1000,2015.1000,98.1000,0.0000,39.7000,0.4800,0.0804,0.0000,0.4000,1.0000,1.0000,
P2c_P3c_P4a_P5abc_P6c_N3,P2c_P3c_P4a_P5abc_P6c,faz1,3,c,c,a,abc,c,10,458.5900,30.9062,4585.9000,9152.0956,2.3000,2.3000,165.5000,0.2000,0.0000,69.9000,0.7333,0.0833,0.0000,0.2000,1.0000,1.0000,
P2c_P3c_P4a_P5abc_P6c_N5,P2c_P3c_P4a_P5abc_P6c,faz1,5,c,c,a,abc,c,10,289.6500,37.1926,2896.5000,9550.0540,7.0000,7.0000,331.9000,1.2000,0.0000,39.7000,0.4800,0.0804,0.0000,0.4000,1.0000,1.0000,
P2c_P3c_P4c_P5abc_P6c_N3,P2c_P3c_P4c_P5abc_P6c,faz1,3,c,c,c,abc,c,10,458.5900,30.9062,4585.9000,9152.0956,2.3000,2.3000,165.5000,0.2000,0.0000,69.9000,0.7333,0.0833,0.0000,0.2000,1.0000,1.0000,
P2c_P3c_P4c_P5abc_P6c_N5,P2c_P3c_P4c_P5abc_P6c,faz1,5,c,c,c,abc,c,10,289.6500,37.1926,2896.5000,9550.0540,7.0000,7.0000,331.9000,1.2000,0.0000,39.7000,0.4800,0.0804,0.0000,0.4000,1.0000,1.0000,
