deney_id,kombinasyon_id,faz,N,tohum,gorev_suresi,tick,kapsama_tamam,karsilasma,takas,devralinan,churn_orani,atama_kararliligi,carpisma
P2c_P3c_P4b_P5abc_P6c_N3,P2c_P3c_P4b_P5abc_P6c,kod,3,0,33.80,338,1,0,0,0,0.00,0.00,0.00
P2c_P3c_P4b_P5abc_P6c_N3,P2c_P3c_P4b_P5abc_P6c,gazebo,3,0,36.5,365,1,0,0,0,0.000,0.000,0
P2c_P3c_P4b_P5abc_P6c_N3,P2c_P3c_P4b_P5abc_P6c,kod,3,1,36.70,367,1,0,0,0,0.00,0.00,0.00
P2c_P3c_P4b_P5abc_P6c_N3,P2c_P3c_P4b_P5abc_P6c,gazebo,3,1,39.4,394,1,0,0,0,0.000,0.000,0
P2c_P3c_P4b_P5abc_P6c_N3,P2c_P3c_P4b_P5abc_P6c,kod,3,2,37.90,379,1,1,0,0,0.00,0.00,0.00
P2c_P3c_P4b_P5abc_P6c_N3,P2c_P3c_P4b_P5abc_P6c,gazebo,3,2,37.4,374,1,1,0,0,0.000,0.000,0
P2c_P3c_P4b_P5abc_P6c_N3,P2c_P3c_P4b_P5abc_P6c,kod,3,3,35.90,359,1,1,0,0,0.00,0.00,0.00
P2c_P3c_P4b_P5abc_P6c_N3,P2c_P3c_P4b_P5abc_P6c,gazebo,3,3,35.5,355,1,1,0,0,0.000,0.000,1
P2c_P3c_P4b_P5abc_P6c_N3,P2c_P3c_P4b_P5abc_P6c,kod,3,4,33.10,331,1,2,1,0,0.50,0.67,0.00
P2c_P3c_P4b_P5abc_P6c_N3,P2c_P3c_P4b_P5abc_P6c,gazebo,3,4,36.6,366,1,2,1,0,0.500,0.667,0
P2c_P3c_P4b_P5abc_P6c_N5,P2c_P3c_P4b_P5abc_P6c,kod,5,0,31.00,310,1,5,0,0,0.00,0.00,0.00
P2c_P3c_P4b_P5abc_P6c_N5,P2c_P3c_P4b_P5abc_P6c,gazebo,5,0,32.2,322,1,5,0,0,0.000,0.000,1
P2c_P3c_P4b_P5abc_P6c_N5,P2c_P3c_P4b_P5abc_P6c,kod,5,1,28.90,289,1,2,0,0,0.00,0.00,0.00
P2c_P3c_P4b_P5abc_P6c_N5,P2c_P3c_P4b_P5abc_P6c,gazebo,5,1,31.4,314,1,2,0,0,0.000,0.000,0
P2c_P3c_P4b_P5abc_P6c_N5,P2c_P3c_P4b_P5abc_P6c,kod,5,2,22.90,229,1,3,0,0,0.00,0.00,0.00
P2c_P3c_P4b_P5abc_P6c_N5,P2c_P3c_P4b_P5abc_P6c,gazebo,5,2,24.5,245,1,3,0,0,0.000,0.000,1
P2c_P3c_P4b_P5abc_P6c_N5,P2c_P3c_P4b_P5abc_P6c,kod,5,3,31.80,318,1,5,0,0,0.00,0.00,0.00
P2c_P3c_P4b_P5abc_P6c_N5,P2c_P3c_P4b_P5abc_P6c,gazebo,5,3,34.1,341,1,5,0,0,0.000,0.000,3
P2c_P3c_P4b_P5abc_P6c_N5,P2c_P3c_P4b_P5abc_P6c,kod,5,4,29.40,294,1,3,1,0,0.33,0.40,0.00
P2c_P3c_P4b_P5abc_P6c_N5,P2c_P3c_P4b_P5abc_P6c,gazebo,5,4,30.7,307,1,3,1,0,0.333,0.400,0
P2c_P3b_P4b_P5abc_P6c_N3,P2c_P3b_P4b_P5abc_P6c,kod,3,0,31.40,314,1,0,0,0,0.00,0.00,0.00
P2c_P3b_P4b_P5abc_P6c_N3,P2c_P3b_P4b_P5abc_P6c,gazebo,3,0,32.3,323,1,0,0,0,0.000,0.000,0
P2c_P3b_P4b_P5abc_P6c_N3,P2c_P3b_P4b_P5abc_P6c,kod,3,1,32.80,328,1,0,0,0,0.00,0.00,0.00
P2c_P3b_P4b_P5abc_P6c_N3,P2c_P3b_P4b_P5abc_P6c,gazebo,3,1,35.3,353,1,0,0,0,0.000,0.000,0
P2c_P3b_P4b_P5abc_P6c_N3,P2c_P3b_P4b_P5abc_P6c,kod,3,2,35.80,358,1,1,0,0,0.00,0.00,0.00
P2c_P3b_P4b_P5abc_P6c_N3,P2c_P3b_P4b_P5abc_P6c,gazebo,3,2,35.4,354,1,1,0,0,0.000,0.000,0
P2c_P3b_P4b_P5abc_P6c_N3,P2c_P3b_P4b_P5abc_P6c,kod,3,3,35.90,359,1,1,0,0,0.00,0.00,0.00
P2c_P3b_P4b_P5abc_P6c_N3,P2c_P3b_P4b_P5abc_P6c,gazebo,3,3,35.1,351,1,1,0,0,0.000,0.000,0
P2c_P3b_P4b_P5abc_P6c_N3,P2c_P3b_P4b_P5abc_P6c,kod,3,4,29.80,298,1,0,0,0,0.00,0.00,0.00
P2c_P3b_P4b_P5abc_P6c_N3,P2c_P3b_P4b_P5abc_P6c,gazebo,3,4,29.3,293,1,0,0,0,0.000,0.000,0
P2c_P3b_P4b_P5abc_P6c_N5,P2c_P3b_P4b_P5abc_P6c,kod,5,0,29.40,294,1,3,0,0,0.00,0.00,0.00
P2c_P3b_P4b_P5abc_P6c_N5,P2c_P3b_P4b_P5abc_P6c,gazebo,5,0,30.2,302,1,3,0,0,0.000,0.000,1
P2c_P3b_P4b_P5abc_P6c_N5,P2c_P3b_P4b_P5abc_P6c,kod,5,1,32.90,329,1,3,0,0,0.00,0.00,0.00
P2c_P3b_P4b_P5abc_P6c_N5,P2c_P3b_P4b_P5abc_P6c,gazebo,5,1,32.7,327,1,3,0,0,0.000,0.000,0
P2c_P3b_P4b_P5abc_P6c_N5,P2c_P3b_P4b_P5abc_P6c,kod,5,2,25.60,256,1,3,0,0,0.00,0.00,0.00
P2c_P3b_P4b_P5abc_P6c_N5,P2c_P3b_P4b_P5abc_P6c,gazebo,5,2,27.6,276,1,3,0,0,0.000,0.000,1
P2c_P3b_P4b_P5abc_P6c_N5,P2c_P3b_P4b_P5abc_P6c,kod,5,3,30.20,302,1,3,0,0,0.00,0.00,0.00
